path,prompt,short_prompt,aspect_ratio,resolution,fps,duration,labels
video/A day in mountain snow,"A stunning blonde woman with windswept hair stands confidently on a sunlit, snow-covered mountain peak, her toned, statuesque physique accentuated by a sleek white bikini top and matching winter gear. With a radiant smile, she slowly unzips her windbreaker and slips it off her shoulders, revealing her sculpted form with effortless poise. A gentle breeze lifts strands of her flowing hair, adding to the aura of confidence and allure. The backdrop features majestic snow-capped mountains fading into the distance under a crisp blue sky. The camera smoothly orbits left around her, capturing her beauty from multiple angles as she basks in the sunlight, exuding power and grace against the breathtaking alpine landscape","A stunning blonde woman with windswept hair stands confidently on a sunlit, snow-covered mountain peak, her toned, statuesque physique accentuated by a sleek white bikini top and matching winter gear. With a radiant smile, she...",38:51,1216x1632,30.0,10s,"woman, hair, snow, mountain, peak, physique, bikini, top"
video/High-fashion stylish asian model,"The model turns toward the camera and starts poses dynamically and professional like a Paris fashion week model, she has a confident and relaxed look, she blinks every few seconds, the camera zooms on the model's face. 8K resolution, very very detailed and crisp. Correct movement anatomy","The model turns toward the camera and starts poses dynamically and professional like a Paris fashion week model, she has a confident and relaxed look, she blinks every few seconds, the camera zooms on the...",33:59,1056x1888,30.0,10s,"model, camera, paris, fashion, week, look, second, zoom"
video/Fluffy pie maker,"A ginger cat sitting at kitchen table, kneading dough with its paws","A ginger cat sitting at kitchen table, kneading dough with its paws",9:16,720x1280,30.0,5s,"ginger, cat, kitchen, table, dough, paw"
video/girl in white dress in the sea,Stormy sea,Stormy sea,13:17,1248x1632,30.0,10s,sea
video/Village people cooking,"[Truck left,Pan right,Tracking shot]","[Truck left,Pan right,Tracking shot]",22:39,704x1248,30.0,5s,"truck, pan, right, tracking, shot"
video/Jesus loves me,"Jesus Christ runs quickly down a glowing white celestial staircase, arms wide open, smiling with joy. A child in white runs fast up the stairs, leaping into Jesus' embrace. Clouds swirl, light radiates warmly, capturing the emotional reunion in heaven. Smooth motion, cinematic flow, dynamic speed, soft ethereal glow","Jesus Christ runs quickly down a glowing white celestial staircase, arms wide open, smiling with joy. A child in white runs fast up the stairs, leaping into Jesus' embrace. Clouds swirl, light radiates warmly, capturing...",9:16,720x1280,30.0,5s,"jesus, christ, staircase, arm, joy, child, run, stair"
video/the kitten pouring milk,"Slow zoom-in on the kitten pouring milk, forming an intricate latte art portrait of a bearded figure. Soft sunlight highlights the details of the foam design, creating a serene atmosphere. Artistic, serene","Slow zoom-in on the kitten pouring milk, forming an intricate latte art portrait of a bearded figure. Soft sunlight highlights the details of the foam design, creating a serene atmosphere. Artistic, serene",9:16,1080x1920,30.0,5s,"zoom, in, kitten, milk, latte, art, portrait, figure"
video/Tiny people,"climbers climb a large bottle,the camera rotates around the subject","climbers climb a large bottle,the camera rotates around the subject",38:51,1216x1632,30.0,5s,"climber, bottle, camera, subject"
video/Beautiful blonde model in NYC,the camera rotates around the subject,the camera rotates around the subject,38:51,1216x1632,30.0,5s,"camera, subject"
video/indian girl smiling,beautiful smile. very smooth and stable shooting.,beautiful smile. very smooth and stable shooting.,9:16,720x1280,30.0,5s,"smile, shooting"
video/A toddler and a majestic white,A toddler and a majestic white horse strut their stuff down the catwalk.,A toddler and a majestic white horse strut their stuff down the catwalk.,9:16,720x1280,30.0,5s,"toddler, horse, strut, stuff, catwalk"
video/Insta photo shoot,she spins around dancing happily on this beautiful beach,she spins around dancing happily on this beautiful beach,34:59,1088x1888,30.0,10s,beach
video/The girl with the cheetah,"Girl is gently hugging a cheetah as if it were her beloved pet. She looking at camera and making a nice expression. Camera zooms in very slow and gently. 4K quality, high detail and high quality video.","Girl is gently hugging a cheetah as if it were her beloved pet. She looking at camera and making a nice expression. Camera zooms in very slow and gently. 4K quality, high detail and high...",33:59,1056x1888,30.0,5s,"girl, cheetah, pet, camera, expression, zoom, k, quality"
video/Young idol soak at a red carpet,"A cinematic shot of young idol at a red carpet gala event. A stream of water is pouring directly onto her head from above and her soaking wet hair is soaked down flat and straight and partially covering her face. Water drips down her face and body. She is laughing and looking upward. Rivulets of water are pouring down her wet face and body, water spray splashing.",A cinematic shot of young idol at a red carpet gala event. A stream of water is pouring directly onto her head from above and her soaking wet hair is soaked down flat and straight...,22:39,704x1248,30.0,10s,"shot, idol, carpet, gala, event, stream, water, head"
video/art 17,The character turns his face toward the viewer and stares point-blank. birds fly toward the viewer.,The character turns his face toward the viewer and stares point-blank. birds fly toward the viewer.,9:16,1080x1920,30.0,10s,"character, face, viewer, stare, point, bird"
video/baby and a friendly dog,Smiling waving hapoy moves and it's snowing,Smiling waving hapoy moves and it's snowing,9:16,720x1280,30.0,5s,"hapoy, move"
video/Russian,"Unreal Engine quality, cinematic lighting, volumetric fog, ultra-realistic, 8K resolution, 60fps, HDR, physics-based hair movement, ‘natural movement’, ‘cinematic lighting’, ‘high frame rate, soft and organic movement’, HDR, ray tracing, soft shadows, ‘flowing naturally in the wind’, individual strands catching, shallow depth of field","Unreal Engine quality, cinematic lighting, volumetric fog, ultra-realistic, 8K resolution, 60fps, HDR, physics-based hair movement, ‘natural movement’, ‘cinematic lighting’, ‘high frame rate, soft and organic movement’, HDR, ray tracing, soft shadows, ‘flowing naturally in the...",9:16,1080x1920,30.0,5s,"unreal, engine, quality, lighting, volumetric, fog, k, resolution"
video/Goku Go to Super Saiyan 1,"A cinematic 3D animation of a powerful warrior with spiky black hair standing on cracked ground. As he clenches his fists and lets out a deep breath, his energy begins to surge. His hair slowly turns golden, glowing brightly as his eyes shift to a piercing green. A radiant golden aura bursts around him, crackling with intense electricity. The ground beneath him trembles, rocks begin to levitate, and shockwaves ripple through the air. His tattered orange and blue outfit flutters violently from the raw power emanating from his body. Lightning bolts flash around him as his transformation completes, revealing his unstoppable Super Saiyan form. The camera captures dramatic close-ups, slow-motion sequences, and cinematic lighting to emphasize his immense power. Dust and debris swirl around, and the background darkens, enhancing the intensity of the moment,the camera rotates around the subject","A cinematic 3D animation of a powerful warrior with spiky black hair standing on cracked ground. As he clenches his fists and lets out a deep breath, his energy begins to surge. His hair slowly...",9:16,720x1280,30.0,10s,"animation, warrior, spiky, hair, ground, fist, breath, energy"
video/emma,"Realistic, beautiful woman sitting . She maintains alluring eye contact, giving a subtle smile as if she's flirting, She gently brushes her hair with her right hand, moving it slightly back, adding to her playful and engaging demeanor. The lighting highlights her expressive eyes and warm smile, creating a soft, inviting atmosphere. Her pose and movements are natural and fluid, with an air of charm and confidence.","Realistic, beautiful woman sitting . She maintains alluring eye contact, giving a subtle smile as if she's flirting, She gently brushes her hair with her right hand, moving it slightly back, adding to her playful...",9:16,1080x1920,30.0,10s,"woman, eye, contact, smile, hair, hand, demeanor, lighting"
video/Powerful muscular Gorilla,"a powerful muscular fierce warrior gorilla with details of every hair and little scuffs walking, A cinematic CGI scene, dramatic volumetric lighting, Unreal Engine 5 realism, Octane Render textures, 8K ultra-detailed, dystopian atmosphere, dynamic camera angle with depth of field, film grain post-processing, camera rotation,","a powerful muscular fierce warrior gorilla with details of every hair and little scuffs walking, A cinematic CGI scene, dramatic volumetric lighting, Unreal Engine 5 realism, Octane Render textures, 8K ultra-detailed, dystopian atmosphere, dynamic camera...",9:16,720x1280,30.0,10s,"warrior, gorilla, detail, hair, scuff, cgi, scene, volumetric"
video/Just a Fairy Tale,the girl goes deep into the throat and the wolf closes his mouth completely and his eyes too,the girl goes deep into the throat and the wolf closes his mouth completely and his eyes too,23:37,736x1184,30.0,10s,"girl, throat, wolf, mouth, eye"
video/Tigre,the woman and tiget is step forward,the woman and tiget is step forward,9:16,1080x1920,30.0,5s,"woman, tiget"
video/me and bros in ancient Egypt,"Subjects smiling. Subjects are looking at the camera. Wind blows the sand in the background. handheld device filming. Super high quality video, Impeccable 4K or 8K quality for stunning resolution and clarity. High frame rate for buttery-smooth visuals and lifelike motion. Cinematic masterpiece with impeccable detail in every frame.","Subjects smiling. Subjects are looking at the camera. Wind blows the sand in the background. handheld device filming. Super high quality video, Impeccable 4K or 8K quality for stunning resolution and clarity. High frame rate...",9:16,1080x1920,30.0,5s,"subject, camera, wind, sand, background, device, quality, video"
video/I am flying,"A highly realistic and dynamic animation of a young child riding a massive Harpy Eagle, soaring through the skies above a lush jungle. The eagle’s enormous wings, covered in detailed gray and white feathers, flap powerfully as it glides smoothly through the air. The child is laughing joyfully, holding onto the eagle's back as they fly at great heights. The jungle canopy below is blurred, emphasizing the eagle's swift motion through the clouds. The animation captures the bird’s graceful, powerful flight and the child’s sense of awe and excitement, all illuminated by sunlight breaking through the sky","A highly realistic and dynamic animation of a young child riding a massive Harpy Eagle, soaring through the skies above a lush jungle. The eagle’s enormous wings, covered in detailed gray and white feathers, flap...",9:16,1080x1920,30.0,5s,"animation, child, harpy, eagle, sky, jungle, wing, feather"
video/Nature Dances,The mini green character gracifuly dancing.,The mini green character gracifuly dancing.,34:59,1088x1888,30.0,5s,character
video/Luxury,"A graceful woman exuding femininity, beauty, and sensuality, elegantly walking down a grand marble staircase. Her dress shimmers with movement, catching the light, while the delicate lace and sheer sleeves of her outfit flutter gently. Her long, wavy hair cascades effortlessly as she moves, and her confident gaze is captivating. The ambient lighting reflects the luxurious golden decor, enhancing the warmth and sophistication of the scene. Her bejeweled accessories sparkle subtly with every step, adding to the enchanting allure. The atmosphere is filled with elegance and charm, evoking a cinematic, dreamlike quality.”","A graceful woman exuding femininity, beauty, and sensuality, elegantly walking down a grand marble staircase. Her dress shimmers with movement, catching the light, while the delicate lace and sheer sleeves of her outfit flutter gently....",9:16,1080x1920,30.0,5s,"woman, femininity, beauty, sensuality, marble, staircase, dress, shimmer"
video/Star ride,"A POV shot of an epic horseback riding video, with a night sky filled with stars and the Milky Way, set on the beaches of the Maldives. The point of view is from the rider's perspective, looking at her white, majestic horses running along the sandy beaches, with the turquoise water in the background.","A POV shot of an epic horseback riding video, with a night sky filled with stars and the Milky Way, set on the beaches of the Maldives. The point of view is from the rider's...",9:16,1080x1920,30.0,5s,"pov, shot, horseback, riding, video, night, sky, star"
video/warrior woman walks with Tiger,"fierce and determined warrior woman walks forward with steady, confident steps across a sunlit desert landscape, her tattered yet intricately designed robe flowing gently in the wind. Her dark, windswept hair frames her intense gaze, exuding strength and resilience. The warm, golden sunlight casts dramatic shadows, emphasizing the texture of her worn clothing, the glint of the swords strapped to her waist, and the dust swirling at her feet. Behind her, a majestic white tiger strides in sync with her movements, its piercing blue eyes focused, exuding both power and grace. Its fur ripples slightly with each step, muscles shifting naturally beneath its coat. Both figures move with controlled intensity, their presence commanding the scene. The desert air is still, apart from subtle particles of sand drifting through the sunlight.The camera captures the scene with slow-motion cinematic movement, keeping the focus on the warrior and the tiger, while the slightly blurred background provides depth. The overall composition is immersive, with a perfect blend of fantasy and realism","fierce and determined warrior woman walks forward with steady, confident steps across a sunlit desert landscape, her tattered yet intricately designed robe flowing gently in the wind. Her dark, windswept hair frames her intense gaze,...",9:16,1080x1920,30.0,10s,"warrior, woman, step, desert, landscape, robe, wind, hair"
video/The model enjoys the makeup,"A tiny miniature makeup artists carefully makeuping gilrs face, they're all engaged, their movements look natural and correct while adding intricate details. The girl expresses delight and at the same time enjoys the process, she smiles shyly, her emotions are calm and peaceful. She blinks every few seconds Smooth and stable shooting. Ultra-detailed, 8K resolution","A tiny miniature makeup artists carefully makeuping gilrs face, they're all engaged, their movements look natural and correct while adding intricate details. The girl expresses delight and at the same time enjoys the process, she...",33:59,1056x1888,30.0,10s,"makeup, artist, gilrs, face, movement, detail, girl, delight"
video/Goky,"Goku, walking towards the camera, electricity pulating around the body in an electric fashion. The camera backs up and raises uo to keep him in frame. Wind blows","Goku, walking towards the camera, electricity pulating around the body in an electric fashion. The camera backs up and raises uo to keep him in frame. Wind blows",9:16,1080x1920,30.0,10s,"goku, camera, electricity, body, fashion, frame, wind"
video/Pizza Builders,"The tiny workers move dynamically across the pizza surface, carefully placing toppings and spreading cheese. The miniature snowplow advances smoothly, pushing and scattering shredded cheese in a gentle arc, with small pieces tumbling naturally. A worker on a ladder leans forward, reaching to place a basil leaf with precise motion. Another worker carefully steps over gooey, stretching cheese, maintaining balance. The excavator’s arm smoothly tilts, pouring molten cheese in a slow, continuous stream, dripping and stretching before settling. Warm lighting accentuates the glossy texture of the melted cheese and crispy crust, with steam subtly rising. Natural and realistic motion.","The tiny workers move dynamically across the pizza surface, carefully placing toppings and spreading cheese. The miniature snowplow advances smoothly, pushing and scattering shredded cheese in a gentle arc, with small pieces tumbling naturally. A...",9:16,1080x1920,30.0,5s,"worker, pizza, surface, topping, cheese, snowplow, arc, piece"
video/Beauty Face,"The tiny doctors gently move, wiping the giant woman’s face with soft cloths. A subtle glow appears as the skin is cleaned,","The tiny doctors gently move, wiping the giant woman’s face with soft cloths. A subtle glow appears as the skin is cleaned,",9:16,1080x1920,30.0,10s,"doctor, woman, face, cloth, glow, skin"
video/Luminous Fractal Queen,"The girl walked confidently like a professional model, her gaze and smile incredibly alluring, her hair flowing in the wind, the shimmering patterns gently swaying with the bright, pure white light, elegantly enveloping her beautiful body, arms, torso, and thighs, the entire composition exuding a harmonious balance between light and luxury.","The girl walked confidently like a professional model, her gaze and smile incredibly alluring, her hair flowing in the wind, the shimmering patterns gently swaying with the bright, pure white light, elegantly enveloping her beautiful...",2:3,768x1152,30.0,10s,"girl, model, gaze, hair, wind, shimmering, pattern, light"
video/Cat DJ,A Cat DJ mixes music in a disco in a crazy atmosphere.,A Cat DJ mixes music in a disco in a crazy atmosphere.,1:1,1440x1440,30.0,5s,"cat, dj, music, disco, atmosphere"
video/ワインを嗜む黒猫,黒猫が人間のようにワイングラスを持ち、美味しそうにワインを飲みます。クラシックなバーの雰囲気。カメラは猫を正面から定点で写します。,黒猫が人間のようにワイングラスを持ち、美味しそうにワインを飲みます。クラシックなバーの雰囲気。カメラは猫を正面から定点で写します。,1:1,1440x1440,30.0,10s,"黒猫が人間のようにワイングラスを持ち、美味しそうにワインを飲みます。クラシックなバーの雰囲気。カメラは猫を正面から定点で写します, 。"
video/Valentine's day,"the red butterflies form a woman, they fly away, and form a heart","the red butterflies form a woman, they fly away, and form a heart",9:16,1080x1920,30.0,5s,"red, butterfly, woman, heart"
video/work in progress,"A cinematic, hyper-realistic animation of miniature chefs working on a gigantic, golden roast chicken. The crispy skin glistens as they baste it with rich, sizzling juices. Steam rises from the tray, where perfectly roasted potatoes are being carefully turned with oversized spatulas. One chef climbs a tiny ladder to brush on more butter, while another checks the seasoning with a satisfied nod. The warm glow of the kitchen enhances the textures, bringing the dish and the chefs’ passion to life.","A cinematic, hyper-realistic animation of miniature chefs working on a gigantic, golden roast chicken. The crispy skin glistens as they baste it with rich, sizzling juices. Steam rises from the tray, where perfectly roasted potatoes...",1:1,1440x1440,30.0,5s,"animation, chef, roast, chicken, crispy, skin, juice, steam"
video/Face Cleanser,"the miniature workers are cleaning the face with foam and water , water and foam drips down her face and she smiles","the miniature workers are cleaning the face with foam and water , water and foam drips down her face and she smiles",9:16,1080x1920,30.0,5s,"worker, face, foam, water, drip"
video/4,"Inside a glowing glass sphere, a fairy made of pure musical energy gracefully dances, her body pulsing with soft, rhythmic light. Her hair flows in waves of golden sound waves, shifting in perfect harmony with her movements. As she dances, tiny glowing musical notes float around her, moving in sync with an unheard melody. Her dance is smooth, enchanting, and hypnotic, with fluid transitions and no chaotic flickering. The orb sits on an antique gramophone-like pedestal, softly vibrating with unseen frequencies. The ambient lighting shifts subtly, creating an ever-changing spectrum of colors.","Inside a glowing glass sphere, a fairy made of pure musical energy gracefully dances, her body pulsing with soft, rhythmic light. Her hair flows in waves of golden sound waves, shifting in perfect harmony with...",9:16,1080x1920,30.0,5s,"glass, sphere, fairy, energy, body, light, hair, wave"
video/Video related to dental services,"A team of ultra-realistic, miniature dentists, dressed in meticulously detailed surgical uniforms, are performing an intricate dental implant procedure with absolute precision. Some are carefully drilling and securing the implant, while others are fine-tuning and polishing the artificial tooth using high-precision instruments. One dentist is intently analyzing a miniature X-ray film, while another applies delicate sutures with expert finesse. The entire scene is rendered in breathtaking 8K resolution, featuring soft cinematic lighting that highlights the intricate details, realistic reflections on the metallic tools, and lifelike expressions on the dentists’ faces. The camera remains in an extreme close-up to capture every nuanced motion and detail, ensuring an immersive and hyper-realistic experience without zooming out.A key element of the scene is the 'CORE1 IMPLANT' logo, prominently displayed on a flag mounted on a small pole in the background. The flag remains mostly still, with only the slightest, almost imperceptible movement, ensuring that the logo remains clear, sharp, and undistorted at all times. The logo's stability is essential, and no motion should obscure or alter its visibility. The animation incorporates slow-motion elements to enhance realism, with smooth, natural movements that emphasize the precision and innovation of the procedure.""","A team of ultra-realistic, miniature dentists, dressed in meticulously detailed surgical uniforms, are performing an intricate dental implant procedure with absolute precision. Some are carefully drilling and securing the implant, while others are fine-tuning and...",9:16,720x1280,30.0,5s,"team, dentist, uniform, procedure, precision, other, tooth, instrument"
"video/A Cute, white rabbit, in red sne","A Cute, white rabbit, in red sneakers playing Chess along with the cute kitten in the classroom. Kitten made her move and the rabbit made his move 3 seconds later. then kitten made her move and wins the game","A Cute, white rabbit, in red sneakers playing Chess along with the cute kitten in the classroom. Kitten made her move and the rabbit made his move 3 seconds later. then kitten made her move...",9:16,1080x1920,30.0,10s,"rabbit, sneaker, chess, kitten, classroom, move, second, game"
video/Cute one in burning flames,Playing With herself,Playing With herself,9:16,720x1280,30.0,10s,
video/Animated video of a gray kitten,"Misty, a fluffy gray kitten with emerald-green eyes, sits on a sunlit windowsill, her tail twitching eagerly as she stares at a fish-shaped clock with drool dripping from her mouth. Golden sunlight flickers through lace curtains, casting swaying shadows over fish-themed pillows and a ticking salmon-shaped rug.","Misty, a fluffy gray kitten with emerald-green eyes, sits on a sunlit windowsill, her tail twitching eagerly as she stares at a fish-shaped clock with drool dripping from her mouth. Golden sunlight flickers through lace...",59:34,1888x1088,30.0,5s,"misty, kitten, eye, windowsill, tail, twitching, fish, clock"
video/king and queen,"African woman with dark skin, wearing a colorful, patterned dress with orange, red, and blue, standing next to a giant muscular king lion-man hybrid with a lion's head, human body, and large mane, wearing tribal jewelry and loincloth. Background is a blurred, natural setting with warm lighting. Both characters have serious expressions, and the woman has a headwrap. Photorealistic CGI, detailed textures, realistic shadows, dramatic lighting. walking together,the camera is stationary","African woman with dark skin, wearing a colorful, patterned dress with orange, red, and blue, standing next to a giant muscular king lion-man hybrid with a lion's head, human body, and large mane, wearing tribal...",9:16,1080x1920,30.0,5s,"woman, skin, dress, king, lion, man, head, body"
video/new city,"a city floats in the sky with clouds and birds flying around,the camera rotates around the subject,sunlight,rich details,vivid","a city floats in the sky with clouds and birds flying around,the camera rotates around the subject,sunlight,rich details,vivid",36:55,1152x1760,30.0,10s,"city, sky, cloud, bird, camera, subject, sunlight, detail"
video/Water light,A girl the light into the water. Her hair flies in the wind. Glowing fishes are swimming around the girl and the reflection of the water shimmers. Fireflies and little lights are glowing and flying around the girl. Fairytale atmosphere. the camera zooms out,A girl the light into the water. Her hair flies in the wind. Glowing fishes are swimming around the girl and the reflection of the water shimmers. Fireflies and little lights are glowing and flying...,9:16,720x1280,30.0,5s,"girl, light, water, hair, wind, fish, reflection, shimmer"
video/Cherry Hill,the camera tracks a kid sledding down an ice cream themed hill with giant cherries as obstacles,the camera tracks a kid sledding down an ice cream themed hill with giant cherries as obstacles,9:16,720x1280,30.0,5s,"camera, kid, ice, cream, hill, cherry, obstacle"
video/Flight attendant in airport,"In modern and luxurious airport lounge, gorgeous European blonde stewardess stand up from the seat to greet the passenger, beautiful legs, bare feet, realistic, Smooth motion,","In modern and luxurious airport lounge, gorgeous European blonde stewardess stand up from the seat to greet the passenger, beautiful legs, bare feet, realistic, Smooth motion,",9:16,1080x1920,30.0,5s,"airport, lounge, stewardess, seat, passenger, leg, foot, motion"
video/Latex body paint model,beautiful asian model,beautiful asian model,26:33,832x1056,30.0,5s,model
video/Interior design,The camera flies slowly through the room,The camera flies slowly through the room,4:5,1280x1600,30.0,5s,"camera, room"
video/hip hop dancing,"Rhythmic and girls hip hop dancing, body wave. Changes in natural facial expressions. quick blinking and look down, then smile. static camera: dynamic motion, natural movement, dynamic scene elements. in game cinematic, flat illustration style.","Rhythmic and girls hip hop dancing, body wave. Changes in natural facial expressions. quick blinking and look down, then smile. static camera: dynamic motion, natural movement, dynamic scene elements. in game cinematic, flat illustration style.",9:16,1080x1920,30.0,5s,"girl, hop, dancing, body, wave, change, expression, camera"
video/Baby fashion,A toddler and a majestic tiger strut their stuff down the catwalk.,A toddler and a majestic tiger strut their stuff down the catwalk.,22:39,704x1248,30.0,5s,"toddler, tiger, strut, stuff, catwalk"
video/Gundam,"""Sebuah mecha Gundam futuristik dengan desain yang gagah dan penuh detail. Memiliki armor putih mengilap dengan aksen biru, merah, dan emas yang mencolok. Gundam ini dilengkapi dengan sayap energi yang bersinar, pedang laser besar yang berpendar biru, serta meriam plasma di lengan. Pose dinamis dalam latar belakang luar angkasa dengan asteroid dan cahaya bintang yang dramatis. Efek pencahayaan futuristik menambah kesan epik dan kekuatan yang luar biasa.""","""Sebuah mecha Gundam futuristik dengan desain yang gagah dan penuh detail. Memiliki armor putih mengilap dengan aksen biru, merah, dan emas yang mencolok. Gundam ini dilengkapi dengan sayap energi yang bersinar, pedang laser besar yang...",9:16,720x1280,30.0,10s,"mecha, gundam, futuristik, dengan, desain, yang, gagah, dan"
video/kittens selfie time,"A highly realistic video featuring four adorable cats, each with distinct fur patterns and colors, standing together in a lush green garden. They are gazing up at a smartphone held above them, capturing a selfie. Each cat is smiling and displaying human-like expressions, with their eyes sparkling and ears perked up. The cats are dressed in casual, stylish outfits, adding a touch of charm to the scene. The background features vibrant greenery, blooming flowers, and soft sunlight filtering through the leaves, enhancing the serene and joyful atmosphere. The video should capture the warmth and joy of the moment, making it feel as natural and lifelike as possible.","A highly realistic video featuring four adorable cats, each with distinct fur patterns and colors, standing together in a lush green garden. They are gazing up at a smartphone held above them, capturing a selfie....",9:16,720x1280,30.0,5s,"video, cat, fur, pattern, color, garden, smartphone, selfie"
video/Cat snow rider,"A feline snowboarder hurtles down a steep, snow-covered mountain, kicking up a thick layer of powder on a sharp turn as he grabs his board. His ears perk up with concentration and his wide, determined eyes scan the terrain ahead. The snowboard tilts as the cat shifts its weight, executing a smooth, deft turn. The background shows a breathtaking expanse of snow-capped peaks, with the golden glow of the setting sun casting long shadows across the slopes. Trails of snow trail behind him, creating a sensation of movement and adrenaline.","A feline snowboarder hurtles down a steep, snow-covered mountain, kicking up a thick layer of powder on a sharp turn as he grabs his board. His ears perk up with concentration and his wide, determined...",34:59,1088x1888,30.0,5s,"snowboarder, snow, mountain, layer, powder, turn, board, ear"
video/Running Man,an asian man running on water surface with high hyper speed. water splash,an asian man running on water surface with high hyper speed. water splash,17:29,1088x1856,30.0,10s,"man, water, surface, speed, splash"
video/Riding Into Mystery,"Hyperspeed POV shot a bike ride, dodging explosions, The camera weaves through smoke, rubble, and blasts, with the environment blurring in rapid motion as chaos unfolds all around","Hyperspeed POV shot a bike ride, dodging explosions, The camera weaves through smoke, rubble, and blasts, with the environment blurring in rapid motion as chaos unfolds all around",9:16,1080x1920,30.0,10s,"hyperspeed, pov, bike, ride, explosion, camera, smoke, rubble"
video/Gothic Sailor Moon,"Sailor Moon spins around and dances,the camera rotates around the subject","Sailor Moon spins around and dances,the camera rotates around the subject",36:55,1152x1760,30.0,10s,"sailor, moon, dance, camera, subject"
video/8 march,"the camera rotates around the subject,Two fairies with shining wings are dancing smoothly on the flower figure, their movements are light and graceful. They spin in the air, their arms reaching out to each other, and their transparent wings shimmer with soft light. The petals of the flowers are slightly moving, as if from a light breeze, and glowing particles are slowly floating around. The camera zooms in, focusing on the details: the delicate movements of the fairies, their sparkling wings and the flickering light in the night sky. The movement is smooth and natural, creating a magical atmosphere.","the camera rotates around the subject,Two fairies with shining wings are dancing smoothly on the flower figure, their movements are light and graceful. They spin in the air, their arms reaching out to each other,...",9:16,720x1280,30.0,5s,"camera, subject, fairy, wing, flower, figure, movement, air"
video/Cats,"""A highly detailed and ultra-realistic animation of an anthropomorphic fluffy orange cat wearing a traditional straw hat, striking down with a wooden staff onto a great white shark. The shark, mid-motion, reacts with shock before collapsing unconscious. Water splashes dramatically as the impact sends ripples through the ocean surface. The sunlight reflects off the waves, creating a dynamic and immersive scene. The cat's expression remains fierce and determined, embodying the spirit of a warrior. Smooth motion, cinematic lighting, and realistic physics enhance the intensity of the battle.""","""A highly detailed and ultra-realistic animation of an anthropomorphic fluffy orange cat wearing a traditional straw hat, striking down with a wooden staff onto a great white shark. The shark, mid-motion, reacts with shock before...",9:16,1080x1920,30.0,5s,"animation, cat, straw, hat, staff, shark, -, motion"
video/Your usual self,猫はポテトチップスを食べながらスマホを見て大声で笑う,猫はポテトチップスを食べながらスマホを見て大声で笑う,9:16,720x1280,30.0,5s,猫はポテトチップスを食べながらスマホを見て大声で笑う
video/Thoughtful,thoughts coming out of the tablet circling around the head of the guy,thoughts coming out of the tablet circling around the head of the guy,9:16,720x1280,30.0,10s,"thought, tablet, head, guy"
video/Cerita pendek,Buatkan gambar ini bergerak dengan realistis seperti karakter pada umumnya,Buatkan gambar ini bergerak dengan realistis seperti karakter pada umumnya,9:16,720x1280,30.0,5s,"gambar, ini, bergerak, dengan, realistis, seperti, karakter, pada"
video/Croptop video from the image of,"Create a fashion model video from the provided image. The model is a Vietnamese woman with the same face, arms and legs as the previous video. She is wearing a T-shirt and loose jeans and walks gracefully in front of a modern and luxurious cafe, with natural light highlighting her facial features. She walks without stumbling. Her hands are empty - she is not holding a bag or anything else. Keep the T-shirt and all accessories as in the reference image. Keep the exact texture, color and fit of the fabric, ensuring natural body movement without distortion.","Create a fashion model video from the provided image. The model is a Vietnamese woman with the same face, arms and legs as the previous video. She is wearing a T-shirt and loose jeans and...",9:16,720x1280,30.0,10s,"fashion, model, video, image, woman, face, arm, leg"
video/Lotus Bloom,"The glowing flower leaves the girls hands nd rises into the sky, The girl lifts her head and smiles as she follows the flower rising, twinkles rain gently down, magical","The glowing flower leaves the girls hands nd rises into the sky, The girl lifts her head and smiles as she follows the flower rising, twinkles rain gently down, magical",1:1,960x960,30.0,10s,"flower, girl, hand, sky, head"
video/The Secret Behind Fast Food,"The scene comes to life as tiny workers actively spread guacamole with mini spatulas, while a crane carefully pours melted cheese in slow motion over the burrito. A small group of workers ‘tighten’ the wrap using tiny wrenches, ensuring a perfect roll. The camera captures dynamic movement as the burrito steams slightly, enhancing its freshly made appeal.","The scene comes to life as tiny workers actively spread guacamole with mini spatulas, while a crane carefully pours melted cheese in slow motion over the burrito. A small group of workers ‘tighten’ the wrap...",2:3,768x1152,30.0,5s,"scene, life, worker, guacamole, spatula, crane, cheese, motion"
video/Otter and friends,"tất cả những con rái cá đang nhảy ở quán bar, sôi động, thực hiện động tác chuyên nghiệp, đa dạng, nhảy vui vẻ, hồn nhiên, dễ thương, hiệu ứng ánh sáng neon lấp lánh, đèn xoay liên tục, dance chuyên nghiệp, môi trường sinh động, chuyển động chân thực, mượt mà","tất cả những con rái cá đang nhảy ở quán bar, sôi động, thực hiện động tác chuyên nghiệp, đa dạng, nhảy vui vẻ, hồn nhiên, dễ thương, hiệu ứng ánh sáng neon lấp lánh,...",9:16,1080x1920,30.0,5s,"tất, cả, những, con, rái, đang, nhảy, ở"
video/Albert,the person laughs and winks his eye,the person laughs and winks his eye,9:16,720x1280,30.0,5s,"person, eye"
video/Geisha,She looks over towards the viewer and smiles softly. While blinking slowly.,She looks over towards the viewer and smiles softly. While blinking slowly.,9:16,720x1280,30.0,10s,viewer
video/The Guardians,They are walking towards camera in a decent walk. The camera is still and is not blurry.,They are walking towards camera in a decent walk. The camera is still and is not blurry.,22:39,704x1248,30.0,10s,"camera, walk"
